Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Conor Coady,Wolves,30," D(CR),DMC  ",38,3364,0.8,0.7,0.5,0.9,3.7,0.3,1.1,0,6.65
Harry Maguire,Man Utd,30, D(C)  ,28(2),2514,1.1,1.1,0.7,0.4,3.3,0.4,1,1,6.65
Danny Ings,Aston Villa,30," AM(C),FW  ",22(8),1906,0.8,0.2,0.5,0,0.7,0.8,0.1,0,6.65
Juraj Kucka,Watford,36, M(CLR)  ,22(4),1924,2.3,1,1.8,0,1.7,1.8,0.3,1,6.64
David de Gea,Man Utd,32, GK  ,38,3420,0,0,0,0,0.6,0,0,0,6.64
Jean-Philippe Mateta,Crystal Palace,25, FW  ,13(9),1152,0.4,0.2,0.7,0,0.6,0.7,0.1,0,6.64
Manuel Lanzini,West Ham,30, M(CLR)  ,19(11),1789,0.9,0.6,0.4,0,0.3,0.8,0,0,6.64
Luke Shaw,Man Utd,27," D(CL),M(L)  ",19(1),1603,1.1,0.5,1.6,0.2,0.9,0.5,0.6,0,6.64
Robert Sánchez,Brighton,25, GK  ,37,3330,0.1,0,0,0,0.6,0,0,0,6.63
Nemanja Matic,Man Utd,34, DMC  ,16(7),1384,1.3,1.3,1.1,0.1,0.8,0.7,0.3,0,6.63
Emiliano Martínez,Aston Villa,30, GK  ,36,3240,0,0,0,0,0.3,0.1,0,0,6.63
Ademola Lookman,Leicester,25," AM(CLR),FW  ",16(10),1459,1.2,0.4,1,0,0.1,0.7,0,0,6.63
Wout Weghorst,Burnley,30, FW  ,17(3),1457,0.9,0.3,1.5,0,0.7,0.7,0.3,0,6.62
Mohamed Elyounoussi,Southampton,28," AM(CLR),FW  ",23(7),2046,1.2,0.4,0.9,0,0.9,0.9,0.1,0,6.62
Illan Meslier,Leeds,23, GK  ,38,3385,0,0,0,0,1.2,0,0,0,6.62
Séamus Coleman,Everton,34," D(CR),M(R)  ",30,2658,2,1.1,0.5,0.2,2.5,0.6,0.4,1,6.61
Connor Roberts,Burnley,27," D(LR),M(R)  ",19(2),1693,1,1,0.3,0.2,2.5,0.2,0.2,0,6.61
Jordan Pickford,Everton,29, GK  ,35,3150,0,0,0,0,1,0,0,0,6.60
Eddie Nketiah,Arsenal,23, FW  ,8(13),825,0.4,0.2,0.8,0,0.2,0.1,0.1,0,6.60
James Milner,Liverpool,37," D(LR),M(CLR)  ",9(15),851,1.2,0.7,0.7,0,0.8,0.7,0.2,0,6.60
Nathan Redmond,Southampton,29," AM(CLR),FW  ",20(7),1834,0.8,0.3,0.6,0,0.5,0.9,0.1,0,6.60
Armando Broja,Southampton,21, FW  ,21(11),1981,0.4,0.1,0.9,0,0.3,0.2,0,0,6.59
Diego Llorente,Leeds,29," D(C),DMC  ",28,2344,1.9,1.4,0.8,0.3,2.7,0.5,0.6,0,6.59
Matthew Lowton,Burnley,33," D(LR),M(R)  ",20(5),1772,1.5,1,0.5,0.1,2.5,0.7,0.4,0,6.59
Solly March,Brighton,28, M(CLR)  ,17(14),1739,1,0.5,1,0,0.7,0.5,0.1,0,6.59
Emil Krafth,Newcastle,28, D(CR)  ,18(2),1638,1.9,1.3,1.1,0.4,2.5,0.5,0.5,0,6.59
Joe Willock,Newcastle,23, M(C)  ,24(5),2047,2.2,0.7,1.2,0,0.3,1.3,0.2,0,6.58
Ismaïla Sarr,Watford,25," AM(CLR),FW  ",21(1),1865,0.5,0.4,0.8,0,0.4,0.6,0,0,6.58
Alex Iwobi,Everton,26, M(CLR)  ,22(6),2037,1.4,0.7,0.6,0,0.9,1.1,0.1,0,6.58
Rodrigo,Leeds,32," M(CLR),FW  ",27(4),2275,0.6,0.4,0.7,0,0.8,0.9,0,0,6.57
Trincão,Wolves,23, AM(CR)  ,16(12),1340,1,0.4,0.5,0,0,0.6,0,0,6.57
Jonjo Shelvey,Newcastle,31, M(C)  ,22(2),1986,1.3,0.9,0.8,0,0.8,0.8,0.3,0,6.57
Kalvin Phillips,Leeds,27," D(C),DMC  ",18(2),1596,2.7,1.2,1.7,0.2,0.9,1.7,0.5,0,6.57
Vladimír Coufal,West Ham,30," D(R),M(R)  ",25(3),2211,1.6,0.8,1,0,2,0.6,0.3,1,6.56
Anthony Elanga,Man Utd,20, AM(LR)  ,14(7),1217,1.2,0.4,0.4,0,0.2,0.7,0,0,6.56
Mathias Normann,Norwich,26, M(C)  ,20(3),1653,1.5,0.8,1.6,0,1.7,1.3,0.3,0,6.56
Imrân Louza,Watford,23, M(CLR)  ,17(3),1423,2.1,2.1,1.2,0,1,1.1,0.3,0,6.55
Brandon Williams,Norwich,22," D(L),M(L)  ",23(3),2123,2.1,1.7,0.9,0.2,1.7,1.1,0.2,0,6.54
